# OSM: "khoá=giá trị" (kèm "/tag phụ" cho place_of_worship, pitch, station). "khoá=*" = dự phòng theo khoá.
amenity=cafe,cafe
amenity=restaurant,restaurant
amenity=fast_food,fast_food
amenity=bar,bar
amenity=pub,pub
amenity=biergarten,pub
amenity=food_court,food_court
amenity=ice_cream,ice_cream
amenity=bank,bank
amenity=atm,atm
amenity=bureau_de_change,money_exchange
amenity=money_transfer,finance_other
amenity=hospital,hospital
amenity=clinic,clinic
amenity=doctors,doctor
amenity=dentist,dentist
amenity=pharmacy,pharmacy
amenity=veterinary,veterinary
amenity=school,school
amenity=kindergarten,kindergarten
amenity=childcare,kindergarten
amenity=university,university
amenity=college,college
amenity=library,library
amenity=language_school,language_center
amenity=driving_school,driving_school
amenity=music_school,training_center
amenity=training,training_center
amenity=prep_school,tutoring
amenity=fuel,fuel
amenity=charging_station,charging_station
amenity=parking,parking
amenity=motorcycle_parking,parking_motorcycle
amenity=bus_station,bus_station
amenity=ferry_terminal,ferry_terminal
amenity=taxi,taxi_stand
amenity=car_wash,car_wash
amenity=car_rental,services_other
amenity=car_repair,car_repair
amenity=motorcycle_rental,services_other
amenity=townhall,town_hall
amenity=police,police
amenity=fire_station,fire_station
amenity=courthouse,courthouse
amenity=post_office,post_office
amenity=post_depot,courier
amenity=embassy,embassy
amenity=community_centre,community_center
amenity=social_facility,social_facility
amenity=toilets,public_toilet
amenity=grave_yard,cemetery
amenity=place_of_worship/buddhist,pagoda
amenity=place_of_worship/christian,church
amenity=place_of_worship/muslim,mosque
amenity=place_of_worship/taoist,temple
amenity=place_of_worship/caodaism,temple
amenity=place_of_worship/hoahaoism,temple
amenity=place_of_worship/hindu,temple
amenity=place_of_worship/confucian,temple
amenity=place_of_worship,temple
amenity=monastery,monastery
amenity=cinema,cinema
amenity=theatre,theatre
amenity=nightclub,nightclub
amenity=karaoke_box,karaoke
amenity=casino,entertainment_sport_other
amenity=gambling,entertainment_sport_other
amenity=marketplace,market
amenity=arts_centre,cultural_center
amenity=events_venue,entertainment_sport_other
amenity=exhibition_centre,cultural_center
amenity=conference_centre,entertainment_sport_other
amenity=internet_cafe,gaming_center
amenity=coworking_space,coworking
amenity=studio,photo_studio
amenity=*,services_other
shop=convenience,convenience
shop=supermarket,supermarket
shop=mall,mall
shop=department_store,department_store
shop=general,convenience
shop=kiosk,convenience
