# Overture categories.primary (snake_case). Giá trị lớn nhất trong dữ liệu VN được ưu tiên phủ.
restaurant,restaurant
vietnamese_restaurant,restaurant
asian_restaurant,restaurant
seafood_restaurant,restaurant
chinese_restaurant,restaurant
japanese_restaurant,restaurant
korean_restaurant,restaurant
thai_restaurant,restaurant
indian_restaurant,restaurant
italian_restaurant,restaurant
french_restaurant,restaurant
american_restaurant,restaurant
barbecue_restaurant,restaurant
hot_pot_restaurant,restaurant
vegetarian_restaurant,restaurant
vegan_restaurant,restaurant
vegetarian_and_vegan_restaurant,restaurant
pizza_restaurant,restaurant
burger_restaurant,fast_food
chicken_restaurant,fast_food
fast_food_restaurant,fast_food
sushi_restaurant,restaurant
steakhouse,restaurant
buffet_restaurant,restaurant
breakfast_and_brunch_restaurant,restaurant
noodles_restaurant,restaurant
noodle_restaurant,restaurant
soup_restaurant,restaurant
diner,restaurant
bistro,restaurant
cafeteria,restaurant
food_stand,street_food
street_vendor,street_food
food_truck,street_food
snack_place,street_food
food_court,food_court
cafe,cafe
coffee_shop,cafe
coffee_roastery,cafe
internet_cafe,gaming_center
tea_room,tea_house
bubble_tea,bubble_tea
juice_bar,juice_bar
smoothie_shop,juice_bar
bakery,bakery
dessert_shop,dessert
desserts,dessert
ice_cream_shop,ice_cream
ice_cream_parlor,ice_cream
bar,bar
beer_bar,bar
beer_garden,pub
brewery,pub
pub,pub
cocktail_bar,bar
wine_bar,bar
lounge,bar
hookah_bar,bar
night_club,nightclub
karaoke,karaoke
eat_and_drink,food_drink_other
grocery_store,convenience
supermarket,supermarket
convenience_store,convenience
health_food_store,convenience
wholesale_store,shopping_other
shopping_center,mall
shopping,shopping_other
market,market
flea_market,market
farmers_market,market
clothing_store,clothes
womens_clothing_store,clothes
mens_clothing_store,clothes
childrens_clothing_store,clothes
fashion,clothes
fashion_accessories_store,clothes
lingerie_store,clothes
shoe_store,shoes
electronics,electronics
electronics_store,electronics
computer_store,electronics
mobile_phone_store,mobile_phone
mobile_phone_accessories_store,mobile_phone
furniture_store,furniture
home_goods_store,furniture
home_improvement_store,hardware
hardware_store,hardware
building_supply_store,hardware
jewelry_store,jewelry
watch_store,jewelry
bookstore,bookshop
office_supply_store,stationery
florist,florist
flowers_and_gifts_shop,florist
gift_shop,gift
souvenir_shop,gift
cosmetics_store,cosmetics
cosmetic_and_beauty_supplies,cosmetics
beauty_supply_store,cosmetics
sporting_goods_store,sports_shop
pet_store,pet_shop
pet_services,services_other
toy_store,toys
baby_store,toys
motorcycle_dealer,motorcycle_shop
motorcycle_repair_shop,motorcycle_repair
car_dealer,car_dealer
auto_parts_and_supplies,shopping_other
bicycle_shop,bicycle_shop
department_store,department_store
discount_store,shopping_other
retail,shopping_other
eyewear_store,optician
liquor_store,shopping_other
beauty_salon,beauty_salon
spas,spa
spa,spa
hair_salon,hair_salon
barber,hair_salon
barber_shop,hair_salon
nail_salon,beauty_salon
tattoo_and_piercing,beauty_salon
massage,spa
laundry_services,laundry
dry_cleaning,laundry
tailor,tailor
photography_studio,photo_studio
photographer,photo_studio
printing_service,printing
printing_services,printing
real_estate_service,real_estate
real_estate_agency,real_estate
real_estate_agent,real_estate
real_estate,real_estate
property_management,real_estate
lawyer,lawyer
legal_services,lawyer
accountant,accounting
accounting,accounting
travel_agency,travel_agency
travel_services,travel_agency
tours,travel_agency
coworking_space,coworking
professional_services,services_other
business_to_business_service,services_other
consulting,services_other
marketing_agency,services_other
advertising_agency,services_other
party_and_event_planning,services_other
construction_services,services_other
construction_company,services_other
contractor,services_other
interior_design,services_other
architect,services_other
home_services,services_other
automotive_repair,car_repair
auto_repair,car_repair
motorcycle_repair,motorcycle_repair
car_wash,car_wash
gas_station,fuel
shipping_and_mailing,courier
courier,courier
delivery_service,courier
insurance_agency,insurance
it_service_and_computer_repair,it_services
computer_repair,it_services
web_design,it_services
software_company,it_services
financial_service,credit_fund
bank_credit_union,bank
atm,atm
currency_exchange,money_exchange
pawn_shop,pawnshop
hospital,hospital
medical_center,clinic
medical_clinic,clinic
urgent_care,clinic
doctor,doctor
dermatologist,doctor
pediatrician,doctor
cardiologist,doctor
dentist,dentist
pharmacy,pharmacy
drugstore,pharmacy
veterinarian,veterinary
optometrist,optician
medical_lab,medical_lab
laboratory_testing,medical_lab
obstetrician_and_gynecologist,maternity
traditional_chinese_medicine,traditional_medicine
acupuncture,traditional_medicine
physical_therapy,health_other
health_and_medical,health_other
counseling_and_mental_health,health_other
preschool,kindergarten
kindergarten,kindergarten
elementary_school,primary_school
middle_school,secondary_school
high_school,high_school
school,school
private_school,school
public_school,school
college_university,university
university,university
college,college
community_college,college
language_school,language_center
tutoring_center,tutoring
tutoring,tutoring
vocational_and_technical_school,training_center
specialty_school,training_center
driving_school,driving_school
library,library
music_school,training_center
art_school,training_center
education,education_other
educational_services,education_other
hotel,hotel
motel,motel
hostel,hostel
guest_house,guest_house
bed_and_breakfast,guest_house
vacation_rental,homestay
resort,resort
serviced_apartments,apartment_rental
lodging,lodging_other
accommodation,lodging_other
movie_theater,cinema
gym,gym
fitness_center,gym
yoga_studio,gym
martial_arts_club,gym
swimming_pool,swimming_pool
stadium_arena,stadium
sports_club,sports_center
sports_and_recreation_venue,sports_center
soccer_field,football_pitch
badminton_court,badminton_court
tennis_court,tennis_court
pool_hall,billiards
billiards,billiards
bowling_alley,bowling
internet_service_provider,it_services
video_game_arcade,gaming_center
amusement_park,amusement_park
theme_park,amusement_park
water_park,water_park
golf_course,entertainment_sport_other
dance_studio,entertainment_sport_other
arts_and_entertainment,entertainment_sport_other
active_life,entertainment_sport_other
museum,museum
art_gallery,art_gallery
theater,theatre
performing_arts_venue,theatre
monument,monument
historical_landmark,historic_site
landmark_and_historical_building,historic_site
tourist_attraction,tourist_attraction
scenic_lookout,viewpoint
zoo,zoo
aquarium,aquarium
park,park
garden,garden
botanical_garden,garden
beach,beach
cultural_center,cultural_center
tourist_information_center,tourist_info
attractions_and_activities,culture_tourism_other
bus_stop,bus_stop
bus_station,bus_station
train_station,train_station
metro_station,metro_station
airport,airport
ferry_terminal,ferry_terminal
taxi_service,taxi_stand
parking,parking
parking_lot,parking
motorcycle_parking,parking_motorcycle
ev_charging_station,charging_station
toll_booth,toll_booth
port,port
marina,port
transportation,transport_other
public_transportation,transport_other
travel_and_transportation,transport_other
city_hall,town_hall
town_hall,town_hall
government_office,government_office
central_government_office,government_office
local_government_office,government_office
public_service_government,government_office
public_and_government_association,government_office
police_department,police
fire_department,fire_station
courthouse,courthouse
post_office,post_office
embassy,embassy
social_services,social_facility
community_center,community_center
public_toilet,public_toilet
cemetery,cemetery
political_party_office,public_admin_other
buddhist_temple,pagoda
church,church
church_cathedral,church
catholic_church,church
temple,temple
hindu_temple,temple
mosque,mosque
shrine,shrine
monastery,monastery
place_of_worship,religion_community_other
religious_organization,religion_community_other
community_services_non_profits,religion_community_other
# --- bổ sung sau khi đo độ phủ trên 1,5 triệu bản ghi VN (Task 6) ---
health_spa,spa
bridal_shop,clothes
costume_store,clothes
sporting_goods,sports_shop
eyewear_and_optician,optician
cosmetic_dentist,dentist
orthodontist,dentist
pool_billiards,billiards
smoothie_juice_bar,juice_bar
laundromat,laundry
day_care_preschool,kindergarten
car_rental_agency,services_other
music_venue,theatre
auto_parts_and_supply_store,shopping_other
arts_and_crafts,shopping_other
nursery_and_gardening,florist
software_development,it_services
information_technology_company,it_services
telecommunications_company,it_services
marketing_agency,services_other
architectural_designer,services_other
home_cleaning,services_other
home_staging,services_other
home_service,services_other
appliance_repair_service,services_other
event_photography,photo_studio
wedding_planning,services_other
freight_and_cargo_service,courier
diagnostic_services,medical_lab
medical_service_organizations,health_other
holiday_rental_home,homestay
automotive_services_and_repair,car_repair
industrial_equipment,services_other
business_manufacturing_and_supply,services_other
commercial_industrial,services_other
food_beverage_service_distribution,services_other
jewelry_and_watches_manufacturer,jewelry
campus_building,education_other
public_service_and_government,government_office
food,food_drink_other
# farm/agriculture: địa điểm nông nghiệp, không thuộc 12 nhóm spec 5.6 → để rơi vào `other` có chủ đích
musical_instrument_store,shopping_other
aquatic_pet_store,pet_shop
auto_detailing,car_wash
makeup_artist,beauty_salon
skin_care,beauty_salon
engineering_services,services_other
atms,atm
fabric_store,shopping_other
corporate_office,office
luggage_store,shopping_other
theme_restaurant,restaurant
computer_hardware_company,electronics
mattress_store,furniture
lodge,lodging_other
linen,shopping_other
photography_store_and_services,photo_studio
vitamins_and_supplements,pharmacy
financial_advising,credit_fund
truck_dealer,car_dealer
fruits_and_vegetables,shopping_other
business_advertising,services_other
industrial_company,services_other
e_cigarette_store,shopping_other
office_equipment,stationery
graphic_designer,services_other
